,Date,Heure,Prix,Consommation,Production,Export
31,2021-01-02,7,190.52649296094327,72040.32204955925,"              techno    Volume     Prix
0             eolien         0        0
1            solaire  0.746165        0
2            fil_eau   1202.66        0
3       cogeneration   935.259        0
4          nucleaire   53362.4        8
10  interconnexion_1      3000  24.9697
9            charbon      2000  28.0412
12  interconnexion_3      3000  44.2353
5                lac   1490.81       50
6               ccgt      6000   56.073
11  interconnexion_2      3000  61.5819
7            tac gaz       650  89.0422
13  interconnexion_4         0  191.513
8          tac fioul         0  206.435",2601.520605551501
32,2021-01-02,8,190.5601194678218,73897.77488383699,"              techno   Volume     Prix
0             eolien        0        0
1            solaire  235.042        0
2            fil_eau  1381.37        0
3       cogeneration   932.25        0
4          nucleaire  53299.4        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  1992.47       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz      650  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",1592.725399194882
33,2021-01-02,9,190.56434136235154,75529.54670813857,"              techno       Volume     Prix
0             eolien            0        0
1            solaire      999.115        0
2            fil_eau      1517.65        0
3       cogeneration      930.157        0
4          nucleaire      53432.5        8
10  interconnexion_1         3000  24.9697
9            charbon         2000  28.0412
12  interconnexion_3         3000  44.2353
5                lac      2466.22       50
6               ccgt         6000   56.073
11  interconnexion_2         3000  61.5819
7            tac gaz          650  89.0422
13  interconnexion_4  1.45519e-11  191.513
8          tac fioul            0  206.435",1466.0685633034154
34,2021-01-02,10,190.54167125381792,75968.15284491716,"              techno   Volume     Prix
0             eolien        0        0
1            solaire     1799        0
2            fil_eau  1538.64        0
3       cogeneration  925.709        0
4          nucleaire  53482.3        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  2718.72       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz      650  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",2146.1718193119887
35,2021-01-02,11,190.53304277642937,76444.04540943092,"              techno   Volume     Prix
0             eolien        0        0
1            solaire  2304.16        0
2            fil_eau  1569.78        0
3       cogeneration  939.053        0
4          nucleaire  53502.6        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  2883.51       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz      650  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",2405.0261409680534
36,2021-01-02,12,190.5157840539412,75742.4718349417,"              techno   Volume     Prix
0             eolien        0        0
1            solaire  2513.83        0
2            fil_eau  1505.47        0
3       cogeneration  942.193        0
4          nucleaire  53466.5        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  2587.26       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz      650  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",2922.787815613934
37,2021-01-02,13,61.54917725100347,73396.37055297784,"              techno   Volume     Prix
0             eolien        0        0
1            solaire  2329.53        0
2            fil_eau  1369.63        0
3       cogeneration  939.184        0
4          nucleaire  53406.6        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  2333.93       50
6               ccgt     6000   56.073
11  interconnexion_2  2017.54  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",3000.0
38,2021-01-02,14,61.50666761128158,70854.02491451356,"              techno   Volume     Prix
0             eolien        0        0
1            solaire  1657.23        0
2            fil_eau  1337.82        0
3       cogeneration  938.661        0
4          nucleaire  53329.3        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  1848.73       50
6               ccgt     6000   56.073
11  interconnexion_2  742.247  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",3000.0
39,2021-01-02,15,61.50895665927826,70060.21649246899,"              techno   Volume     Prix
0             eolien        0        0
1            solaire  713.334        0
2            fil_eau  1363.77        0
3       cogeneration  946.379        0
4          nucleaire    53369        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  1856.85       50
6               ccgt     6000   56.073
11  interconnexion_2  810.918  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",3000.0
40,2021-01-02,16,88.99078404433449,72111.95123968199,"              techno   Volume     Prix
0             eolien        0        0
1            solaire  56.7085        0
2            fil_eau  1426.95        0
3       cogeneration  948.211        0
4          nucleaire  53407.1        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  1957.06       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz  315.958  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",3000.0
