"week","day","hour","techno","value"
49,2,4,"consommation",0.844345755624111
49,2,5,"consommation",0.922002014567786
49,2,6,"consommation",1.0284227750112
5,4,11,"consommation",1.08080358505718
49,2,9,"consommation",1.08007571406296
5,4,13,"consommation",1.04753134170749
49,2,12,"consommation",1.0639296967161
49,2,13,"consommation",1.04146338414492
5,4,16,"consommation",1.00169459086102
49,2,18,"consommation",1.1217923995134
5,4,22,"consommation",0.995154594382448
5,4,23,"consommation",0.976603426198445
49,2,21,"consommation",0.967583091052279
5,5,1,"consommation",0.909158875273608
5,5,3,"consommation",0.849563519806442
49,3,1,"consommation",0.888279163244366
49,3,8,"consommation",1.07999250315313
5,5,9,"consommation",1.07940168598536
5,5,10,"consommation",1.07855674860945
5,5,13,"consommation",1.04719303086115
49,3,14,"consommation",1.00635318808404
5,5,14,"consommation",1.01693443755373
5,5,16,"consommation",1.00305153529368
49,3,15,"consommation",0.998558989051688
5,5,19,"consommation",1.04978059569277
49,3,16,"consommation",1.03509547906949
5,5,20,"consommation",0.986095564503481
5,5,21,"consommation",0.948540109899976
49,3,20,"consommation",1.0012887449274
5,5,22,"consommation",0.977442332837821
5,6,0,"consommation",0.92116914837691
50,4,6,"consommation",1.02772846807172
50,4,7,"consommation",1.07823994966971
5,6,2,"consommation",0.873078164649298
5,6,7,"consommation",1.0904915491709
5,6,8,"consommation",1.09452826756708
50,4,10,"consommation",1.07447826360491
5,6,10,"consommation",1.08413905306714
50,4,11,"consommation",1.07252544825417
5,6,12,"consommation",1.06466200032413
50,4,12,"consommation",1.0579659012268
5,6,16,"consommation",0.988074236719478
50,4,15,"consommation",1.00132217678515
5,6,18,"consommation",1.08497454933812
5,6,22,"consommation",0.989737964076461
5,6,23,"consommation",0.967001567728533
50,4,18,"consommation",1.10153784208871
5,7,0,"consommation",0.986166518519478
5,7,3,"consommation",0.890284632760178
50,4,20,"consommation",0.993690091223655
50,4,21,"consommation",0.957437181503617
5,7,7,"consommation",0.985695576339768
5,7,10,"consommation",1.0556397146673
5,7,11,"consommation",1.07123712545633
5,7,12,"consommation",1.07009035697336
50,5,9,"consommation",1.07399152020673
5,7,13,"consommation",1.02765118397049
50,5,12,"consommation",1.05570907288755
50,5,13,"consommation",1.03355378645924
5,7,16,"consommation",0.976600080675147
50,5,16,"consommation",1.03614035775138
5,7,21,"consommation",0.991436215858209
5,7,23,"consommation",1.02553048763959
5,1,0,"consommation",1.01262202383504
5,1,1,"consommation",0.992330542862744
5,1,4,"consommation",0.898665955090016
5,1,5,"consommation",0.910854903142062
5,1,6,"consommation",0.930807123022643
5,1,8,"consommation",0.99218077895739
5,1,11,"consommation",1.0704013460413
5,1,12,"consommation",1.06230390713144
5,1,16,"consommation",0.949672281086814
5,1,17,"consommation",1.03458841542232
5,1,21,"consommation",1.01693868823629
5,1,22,"consommation",1.0568054323206
5,2,3,"consommation",0.8247493436947
5,2,5,"consommation",0.923699544271774
5,2,6,"consommation",1.02759841110814
5,2,8,"consommation",1.0858012012078
5,2,9,"consommation",1.08442944942041
5,2,10,"consommation",1.08109395586322
5,2,11,"consommation",1.08139087583877
5,2,12,"consommation",1.07213085753565
5,2,13,"consommation",1.04886657621091
5,2,15,"consommation",1.00288190435777
5,2,16,"consommation",1.00587145376899
5,2,18,"consommation",1.12110877873738
5,2,21,"consommation",0.965072244168118
5,2,22,"consommation",0.995217484054137
5,3,2,"consommation",0.862927055561875
5,3,8,"consommation",1.08144223052002
5,3,9,"consommation",1.07869947122377
5,3,11,"consommation",1.07553986282385
5,3,14,"consommation",1.01280676786862
