"week","day","techno","ecart_type","moyenne"
42,2,"cogeneration",106.90278663894,1506.62797619048
42,2,"nucleaire",3837.95190556462,41602.7083333333
42,3,"consommation",3829.94125904333,51971.7797619048
42,3,"eolien",1266.28136328757,2067.73809523809
42,3,"solaire",195.88040942531,932.172619047619
42,3,"fil_eau",1027.25040045291,2987.29761904762
42,3,"lac",361.480786091909,2195.62202380952
42,3,"cogeneration",131.795015583313,1527.76785714286
42,3,"nucleaire",4024.04144350451,41667.3630952381
42,4,"consommation",3754.78706363071,52710.8869047619
42,4,"eolien",2316.06683017538,2850.16964285714
42,4,"solaire",258.62155069035,890.416666666667
42,4,"fil_eau",1004.26925873872,3053.40773809524
42,4,"lac",487.347659283826,2237.8869047619
42,4,"cogeneration",168.592116152083,1556.57142857143
42,4,"nucleaire",4000.23794656696,41632.6517857143
42,5,"consommation",4906.51347449542,53562.9375
42,5,"eolien",1243.79129584337,3482.70833333333
42,5,"solaire",243.719257447771,747.58630952381
42,5,"fil_eau",1011.48173269363,2944.5
42,5,"lac",561.622081596871,2237.47023809524
42,5,"cogeneration",135.187210437623,1547.1130952381
42,5,"nucleaire",4473.20827265369,41356.380952381
42,6,"consommation",4938.89863958077,53070.4553571429
42,6,"eolien",2387.41208268416,2993.58333333333
42,6,"solaire",256.453802440215,829.761904761905
42,6,"fil_eau",950.457168546311,3115.24404761905
42,6,"lac",784.651021545102,2378.99702380952
42,6,"cogeneration",131.229063270899,1562.54464285714
42,6,"nucleaire",4278.71870896743,41716.3184523809
42,7,"consommation",4095.54080693642,46829.5297619048
42,7,"eolien",1054.11681025839,1733.54761904762
42,7,"solaire",270.099370247694,1012.15178571429
42,7,"fil_eau",880.277417149007,2850.88392857143
42,7,"lac",603.902894407572,1362.16666666667
42,7,"cogeneration",102.952091896473,1527.97023809524
42,7,"nucleaire",3983.83279320903,40654.8958333333
43,1,"consommation",2436.9034654393,44994.7003968254
43,1,"eolien",2646.24516722796,3283.73115079365
43,1,"solaire",303.138715910075,799.369047619048
43,1,"fil_eau",1142.54615716897,2578.02777777778
43,1,"lac",358.083717507256,1087.07142857143
43,1,"cogeneration",97.0677883820828,1519.08134920635
43,1,"nucleaire",5693.07418994569,39895.501984127
43,2,"consommation",1721.37243689725,52653.4017857143
43,2,"eolien",2266.97633446335,3304.12202380952
43,2,"solaire",247.752010855819,799.9375
43,2,"fil_eau",1366.26822946862,3024.47916666667
43,2,"lac",406.245449175772,2320.19345238095
43,2,"cogeneration",120.624012730011,1534.84821428571
43,2,"nucleaire",4339.66266793276,42353.0327380952
43,3,"consommation",1502.81325213068,53141.1696428572
43,3,"eolien",2884.23080399411,3517.69940476191
43,3,"solaire",366.664582115512,686.321428571428
43,3,"fil_eau",1121.46580496746,3027.03869047619
43,3,"lac",233.934991114606,2363.83035714286
43,3,"cogeneration",136.952379464803,1560.27678571429
43,3,"nucleaire",3659.42288438876,42360
43,4,"consommation",2653.39652653063,53493.8869047619
